Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Emmanuel Anyama-KCCA FC-FWD,all, game, 46043.730719907,46043.76641088,"3084",3.0897,299.108,25,381.8325,2,0,0,149.2238,33.8563,60.1104,4.9342,22.914,6,6.4001,5.72,"1.3359","0.9913","0.4634","0.2034","0.0957","2589","344.6","103.9","34.1","12.1","89","2","0","0","0","0","12","11","2","0","1.1762","0.2679","0.0805","0.0351","0.0261","986.6","113.1","25.3","9.8","6.5","1.1181","0.2801","0.0789","0.0238","0.0031","1779.3","119.5","31.6","10.5","1.5","0.6831","0.7649","0.5422","0.3997","0.2382","0.1477","0.094","0.0548","0.0485","0.0218","0.0947","2146.4","481.5","192.1","110.4","57.5","31.8","20.6","11.9","8.8","4.8","17.9","3083.7","0","0","0","0","0","60","42","27","7","0","72","34","17","16"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,SHAFIK KWIKIRIZA-KCCA-MF,all, game, 46043.663664352,46043.750336806,"7489",7.3542,592.603,43,866.36,11,0,0,341.7065,32.7043,58.9199,4.6102,21.5784,0,7.0519,4.9149,"3.267","2.4791","1.0155","0.4272","0.1654","6288.8","879","227.9","71.9","20.9","258","10","1","0","0","0","21","14","1","7","3.0002","0.5041","0.136","0.0703","0.0362","2475.1","201.2","44.8","17.5","8.8","2.9113","0.5212","0.1376","0.0309","0.0066","4458.2","214.9","50.7","13.3","4","1.8093","1.8767","1.3236","0.9364","0.5417","0.3024","0.1655","0.1382","0.0717","0.0423","0.1464","5293.6","1159.9","470.4","259.1","129.1","63.7","34.6","26","14.8","8.4","28.9","0","0","0","0","0","0","153","81","30","19","0","147","75","28","28"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Saidi Mayanja-KCCA FC-MF,all, game, 46043.657373843,46043.712177083,"4735",6.5681,580.932,62,781.0295,4,0,0,286.8463,27.7602,83.2282,6.575,33.453,18,6.3889,5.4134,"2.2342","2.2805","1.4724","0.5489","0.0321","3530.7","775.9","329.4","94.6","4.4","77","4","0","0","0","0","32","18","8","4","2.6119","0.5148","0.1565","0.0481","0.0136","1733","186.8","49.4","14.7","3.8","2.5569","0.5283","0.1097","0.0219","0.0064","2485.7","201.6","45","11.5","3.5","1.1224","1.3401","1.2847","1.2089","0.768","0.3776","0.187","0.1191","0.0697","0.0388","0.0517","2790.8","824.5","442.1","318.8","174.1","80","40.6","26.5","15.3","9","13.3","4735","0","0","0","0","0","140","78","32","13","0","114","77","35","15"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Ashraf Mugume-KCCA FC-MF,all, game, 46043.657550926,46043.71231713,"4732",6.1006,590.24,56,750.7616,10,0,0,274.6782,29.6322,77.3531,6.3226,31.1431,18,7.2927,5.7926,"2.1084","2.2954","1.1066","0.4985","0.0917","3582.2","805.6","246.5","85.2","12.2","172","10","0","0","0","0","29","17","8","2","2.3321","0.4637","0.1923","0.0807","0.0295","1722.2","176.2","63.8","23.1","7.3","2.2521","0.5503","0.1587","0.0312","0.01","2450.1","209.8","59.9","14.1","5.2","1.0541","1.3857","1.2389","0.9382","0.5814","0.3243","0.2059","0.1136","0.0755","0.0648","0.1182","2866.2","842.3","436.5","257.7","132.5","70.7","44.5","24.9","16.2","13.5","26.7","4731.8","0","0","0","0","0","133","79","36","20","0","112","72","48","22"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Derrick Paul-KCCA FC-FW,all, game, 46043.661512731,46043.761087963,"8603",6.3887,600.949,51,782.9125,13,0,0,320.3755,31.4883,44.5571,3.6263,16.0661,3,7.226,5.6312,"2.8773","1.8913","1.0192","0.5016","0.0994","7619.9","658.1","228.1","84","13.1","305","14","0","0","0","0","25","15","9","2","2.5436","0.4446","0.1524","0.0912","0.0594","2234.3","180","48.5","26","16.7","2.3748","0.4933","0.1621","0.0534","0.014","5799.8","202.9","63.5","24","7.5","1.546","1.5574","0.9867","0.8444","0.507","0.3678","0.192","0.1017","0.0948","0.0609","0.1301","6715","984.3","346.4","230.8","118.8","78.4","41.1","23.2","21.1","13.8","30.3","8603.3","0","0","0","0","0","93","77","61","28","0","104","55","33","52"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Fillbert Obenchan-KCCA FC-CB,all, game, 46043.657633102,46043.764042824,"9194",10.3929,400.394,47,1213.7603,8,0,0,492.1927,26.8002,67.8241,5.2608,28.0866,0,7.3927,6.4401,"5.2716","3.5974","1.1235","0.3811","0.0193","7603.8","1270.1","252.5","64.6","2.7","279","8","0","0","0","0","27","14","4","2","4.3918","0.7229","0.2023","0.0875","0.0338","3615.7","330.3","73.1","27.4","10.2","3.9973","0.7001","0.2005","0.0446","0.0121","4658.2","363.9","89","19.3","6.6","2.4637","3.3031","2.0059","1.2405","0.6446","0.3063","0.1278","0.0936","0.0556","0.0375","0.1142","5742.5","2048.1","710.7","355.6","161.9","70","31.3","23.6","13.1","9.3","27.6","9193.8","0","0","0","0","0","190","165","42","24","0","228","116","41","40"
46043,MD13-KCCA FC-Maroons FC-Away-League-DRAW,Joel Sserunjogi-KCCA FC-MF,all, game, 46043.658512731,46043.761271991,"8878",12.9254,681.438,96,1526.1224,4,0,0,534.4116,26.3682,87.3538,6.8496,38.1848,0,6.5001,6.6445,"4.9641","4.3584","2.9215","0.6463","0.0352","6607.2","1496.7","657.5","112.1","4.9","133","4","0","0","0","0","51","23","15","7","5.3606","0.9584","0.2646","0.0871","0.0425","3668.5","377.5","91.2","27.7","12.1","4.9534","0.9762","0.2173","0.0521","0.0134","4161.8","417.9","91.9","23.3","6.5","2.0514","3.4146","2.2979","2.5567","1.3926","0.5833","0.2691","0.1392","0.066","0.0429","0.1116","4707.4","2093","792.4","673.7","327.7","133.2","63.3","33.3","16","10.5","27.9","8878.4","0","0","0","0","0","270","160","53","28","0","274","143","61","39"
46042,URA FC VS AMIGOSI UNITED WIN,Moses Okabo - URA-RW,all, training, 46042.390788194,46042.535060185,"9474",7.0655,975.144,60,859.6977,3,0,0,358.5491,34.4483,44.7467,2.7483,10.5631,0,5.9596,5.9378,"3.3289","1.8527","0.9088","0.8117","0.1635","11444.6","661.9","200.5","137.1","21","189","3","0","0","0","0","24","19","13","4","2.8133","0.5725","0.1969","0.0725","0.0299","2502.6","228.4","62.8","20.3","8.9","2.6137","0.5095","0.1888","0.0555","0.013","9313.6","226.4","71.9","24","6.2","2.2333","1.3559","1.0219","0.6772","0.6123","0.4608","0.2452","0.117","0.0815","0.0592","0.2013","10684.3","851.6","369.3","188.5","133.7","91.7","48.6","25.8","16.5","13.3","41.8","12465.1","0","0","0","0","0","108","84","54","25","0","119","80","30","33"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Moses Okabo - URA-RW,all, training, 46043.666065972,46043.79684838,"9202",7.0549,619.524,42,842.1582,29,0,0,402.1331,30.0882,46.0004,2.9703,10.6163,0,5.8038,6.7273,"3.9685","1.7355","0.7314","0.5071","0.1125","10398.2","638.7","162.4","85.5","14.8","336","31","0","0","0","0","20","12","6","4","2.9507","0.6368","0.1803","0.0347","0.0164","3458.7","285","61.8","9.5","4.5","2.4889","0.493","0.1942","0.0496","0.0105","7110.6","259.3","82","22.4","5.8","2.9345","1.3766","0.8818","0.6003","0.4333","0.2791","0.1556","0.1071","0.0685","0.0522","0.166","9675.7","848.6","328.5","171.3","100.1","56.3","34.8","22.3","15","11.5","35.5","11299.6","0","0","0","0","0","134","101","55","20","0","151","101","25","14"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,Moses Okabo - URA-RW,all, training, 46045.766880787,46045.849824074,"6125",4.3671,175.075,19,501.9129,7,0,0,263.4129,25.9682,42.7801,2.7929,10.964,0,6.4267,5.2267,"2.5774","1.3298","0.2848","0.1507","0.0244","6568.1","505.1","64.1","25.5","3.4","186","7","0","0","0","0","17","0","0","2","1.9322","0.3527","0.0808","0.0126","0.0043","2197.1","182.6","33.7","4.7","1.6","1.6271","0.2324","0.0955","0.023","0.0067","4513.3","166.2","50.8","12.6","3.6","1.9039","1.0281","0.7081","0.2813","0.165","0.0972","0.0472","0.0432","0.03","0.0158","0.0475","6095.9","610.1","265.5","86","41.2","21.6","11","11.2","7.4","3.5","12.8","0","0","0","0","0","0","73","54","31","15","0","92","63","14","3"
46046,MD13-URA FC-Vipers SC-Home-League-Loss,Moses Okabo - URA-RW,all, game, 46046.802119213,46046.917583333,"6568",6.1375,588.515,52,771.5778,8,0,0,295.9044,30.3202,56.0673,3.0824,14.5618,0,6.9778,5.3278,"2.4808","2.1591","0.9091","0.3856","0.2029","8920.9","759.5","203.7","65.1","26.9","238","7","1","0","0","0","31","15","5","1","2.3623","0.5022","0.1939","0.0948","0.0404","1762.6","191.1","60.9","25.9","10.8","2.1946","0.4725","0.1866","0.0718","0.0185","7627.2","193.7","67.6","28.5","7.8","1.2506","1.5313","1.1834","0.8104","0.4608","0.2564","0.1994","0.1086","0.0748","0.0473","0.2145","8090.9","941","418.2","221.9","110.7","58.2","40.7","22.3","17.2","10.3","44.7","9976.1","0","0","0","0","0","106","87","50","26","0","107","72","48","33"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,James Penz Begisa - URA -RW,all, training, 46045.778349537,46045.845287037,"5708",4.7904,331.169,24,574.0393,3,0,0,272.8533,29.4402,50.3551,3.9586,17.1926,0,6.7964,6.0312,"2.3816","1.6568","0.4209","0.2933","0.0379","5018.3","615.6","94.2","50.2","5","155","3","0","0","0","0","14","6","0","4","2.0037","0.3596","0.1208","0.0458","0.0191","2380.4","175.1","43.5","14.2","5.9","1.7441","0.3355","0.1189","0.0289","0.0141","2910.9","175.8","56.5","13.3","7.7","1.5687","1.1716","0.895","0.3976","0.2867","0.1734","0.0982","0.0623","0.0309","0.0296","0.0763","4453.1","701.6","331.5","119.7","68.1","37.9","22.1","14.9","7.6","7.1","19.7","5783.3","0","0","0","0","0","103","82","28","27","0","115","51","34","18"
46046,MD13-URA FC-Vipers SC-Home-League-Loss,James Penz Begisa - URA -RW,all, game, 46046.82825,46046.91784838,"6551",2.4293,262.045,20,300.6112,2,0,0,156.0277,29.5202,22.2494,1.5476,6.5532,0,7.9023,5.4408,"1.0491","0.7531","0.365","0.1759","0.0861","7351.5","267.3","81.4","29.6","11.4","67","2","0","0","0","0","9","6","3","2","0.914","0.1843","0.0846","0.0325","0.0207","1890.4","76.7","27.7","8.9","5","0.8893","0.2147","0.0688","0.0169","0.0035","5603.3","93.7","26.4","7.7","1.4","0.6595","0.5009","0.3863","0.3002","0.1853","0.1195","0.0866","0.058","0.0409","0.0198","0.0722","7084.6","307.6","139.4","83.5","44.4","26.4","16.5","11.6","8.2","4.1","14.9","7741.3","0","0","0","0","0","38","51","16","6","0","41","38","15","15"
46042,URA FC VS AMIGOSI UNITED WIN,Nicholas Kabonge - URA-AM,all, training, 46042.389185185,46042.535606481,"9509",4.8613,490,35,563.7604,1,0,0,288.8835,28.4242,30.6737,1.7758,8.1212,0,6.0526,4.6489,"2.4265","1.168","0.7768","0.445","0.045","11986.3","412.2","169.3","77","6","91","1","0","0","0","0","10","12","10","3","1.9837","0.3499","0.1024","0.033","0.0077","1993.9","173.8","36.3","11","2.7","1.9631","0.3246","0.0804","0.0145","0.002","10202.4","180.1","41","8.4","1.2","1.4104","1.1825","0.6116","0.5173","0.545","0.2932","0.1478","0.0673","0.0417","0.0246","0.0199","11311.7","734.4","218.9","140.3","119.5","60.4","31.7","14.7","8.9","5.5","4.8","12650.8","0","0","0","0","0","93","63","24","7","0","84","51","18","16"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Nicholas Kabonge - URA-AM,all, training, 46043.661189815,46043.79703588,"9286",7.3496,311.765,42,886.3092,19,0,0,441.7367,24.5362,47.4885,3.0091,12.4392,0,5.6926,6.0978,"3.9009","2.2622","0.8748","0.3089","0.0028","10659.2","827.9","196.5","53.1","0.4","204","19","0","0","0","0","30","9","1","2","2.9785","0.7149","0.2224","0.0536","0.0125","3476.5","364.1","89.1","19.6","4","2.5174","0.5868","0.1993","0.053","0.0112","7283.2","355.3","110.8","28.3","6.2","2.5963","1.6527","1.1935","0.8263","0.4796","0.2394","0.1265","0.0697","0.0536","0.0337","0.0785","9748","1023.8","444.2","243.8","122.1","59.6","33.1","18","14.1","8","22.4","11737.1","0","0","0","0","0","165","166","60","30","0","181","157","57","18"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,Nicholas Kabonge - URA-AM,all, training, 46045.761262731,46045.84627662,"6304",4.213,102.605,9,487.4972,3,0,0,267.6825,22.8242,40.0979,2.6447,11.8132,0,6.6489,5.9734,"2.3651","1.5095","0.2358","0.1026","0","6694.4","580.5","52.2","18.1","0","114","3","0","0","0","0","4","2","2","1","1.7991","0.3716","0.1046","0.0104","0.0039","2275.8","218.2","48.3","4.3","1.4","1.5337","0.2732","0.0869","0.0255","0.0041","4520.4","202.2","56.2","16.1","2.3","1.6349","1.1278","0.8123","0.2668","0.1861","0.0805","0.033","0.0226","0.0123","0.011","0.0256","6183.7","660.6","313.4","85.3","49.6","21.2","10.6","7","3.5","3.1","7.2","7345.2","0","0","0","0","0","118","88","37","10","0","103","114","14","5"
46046,MD13-URA FC-Vipers SC-Home-League-Loss,Nicholas Kabonge - URA-AM,all, game, 46046.802300926,46046.918204861,"6552",0.4777,0,0,56.0713,3,0,0,45.9903,16.5361,4.3747,0.2231,0.8608,0,3.4148,4.4356,"0.3149","0.1412","0.0216","0","0","9954","55.1","5","0","0","24","3","0","0","0","0","0","0","0","0","0.1956","0.0469","0.0156","0.0028","0","574.3","30.5","8.4","1.1","0","0.1722","0.0279","0.01","0.0064","0.0003","9363.1","23.5","8.6","4.4","0.2","0.2267","0.1218","0.07","0.0314","0.0119","0.0086","0.0025","0.0016","0.0009","0.0007","0.0017","9891.7","73.6","28.1","9.9","4.2","3.4","1","0.7","0.5","0.3","0.7","10014.1","0","0","0","0","0","10","8","14","3","0","9","18","4","0"
46042,URA FC VS AMIGOSI UNITED WIN,Denis Luzige Kisiriko - URA-FWD,all, training, 46042.389380787,46042.53665625,"9492",8.3775,543.061,33,1021.5081,2,0,0,493.0211,31.7603,52.9554,3.199,15.1126,0,6.3556,5.9778,"4.079","3.1104","0.6451","0.3612","0.1818","11385.6","1109.5","145.4","60.7","23.3","169","2","0","0","0","0","17","10","5","1","3.0942","0.7208","0.3014","0.0902","0.0461","4032.4","354.1","117.5","33.9","12.4","3.1533","0.6787","0.2146","0.0669","0.0112","7657.8","359.2","117.6","33.6","6","2.2696","2.2125","1.6713","0.8881","0.477","0.2644","0.1777","0.1219","0.084","0.0613","0.1497","10152.1","1368.9","609.1","271.9","131.1","64.9","38.9","24.5","17.5","13","32.6","12724.6","0","0","0","0","0","182","161","88","27","0","143","152","96","41"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Denis Luzige Kisiriko - URA-FWD,all, training, 46043.695891204,46043.797790509,"8804",4.3518,95.775,20,524.338,17,0,0,286.247,24.0242,29.6579,2.3735,8.8562,0,5.8465,6.4978,"2.6666","1.218","0.3714","0.0958","0","8249.5","453.8","84.2","16.5","0","115","17","0","0","0","0","18","2","0","0","1.7548","0.4113","0.1339","0.0417","0.0128","3246.9","219","50.5","13.8","4.1","1.4997","0.3279","0.1217","0.0399","0.0083","4981.3","198.8","61.6","22.8","5.2","1.7581","1.1362","0.5833","0.3672","0.1939","0.1127","0.0502","0.0475","0.0273","0.0205","0.055","7609.7","717.3","223.9","110.9","54.4","30.4","14.2","14.3","8","5.7","15.2","8804.1","0","0","0","0","0","92","79","55","19","0","114","86","34","16"
46042,URA FC VS AMIGOSI UNITED WIN,Hudu Mulikyi - URA-CB,all, training, 46042.390815972,46042.526626157,"9474",8.6381,40.372,11,979.1863,1,0,0,499.0598,22.7442,54.706,3.3253,18.4617,0,5.2283,5.012,"4.1968","3.8217","0.5793","0.0404","0","10162.8","1430","134","7.2","0","113","1","0","0","0","0","8","3","0","0","3.7229","0.6182","0.123","0.0332","0.0126","3606.9","339.3","59.6","13.8","4.1","3.4568","0.5209","0.1256","0.0218","0.0032","7286.4","326.3","81.8","14","1.8","2.4449","2.6878","2.052","0.903","0.3016","0.1202","0.0596","0.0257","0.0161","0.0107","0.0164","8989.7","1550.2","757.4","275.1","87","35.3","18.1","7.8","4.9","3.5","5","11734","0","0","0","0","0","202","166","46","10","0","220","133","23","21"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Hudu Mulikyi - URA-CB,all, training, 46043.654865741,46043.798188657,"9932",7.6639,347.136,35,884.776,12,0,0,429.2081,26.1282,46.2984,2.8472,11.6725,0,6.5149,5.3889,"4.3071","2.2951","0.7147","0.3192","0.028","11312.2","853.9","158.5","54.5","3.9","156","12","0","0","0","0","20","9","4","2","3.2707","0.6119","0.1493","0.0389","0.011","3786.1","315.6","59.5","13.9","3.8","2.8829","0.5249","0.1402","0.0289","0.0051","7800.3","306.7","77.5","16.5","3.1","2.9959","1.8009","1.1783","0.6874","0.4493","0.2283","0.1152","0.0767","0.0567","0.0271","0.0482","10401.9","1096.5","442.3","202.8","109.5","52.7","27.4","18.2","12.6","6.6","12.5","12383.1","0","0","0","0","0","177","138","42","13","0","181","108","31","12"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,Hudu Mulikyi - URA-CB,all, training, 46045.753611111,46045.844096065,"6777",4.787,108.673,12,537.5821,4,0,0,272.1768,23.9682,42.3817,2.7401,13.0726,0,6.3596,5.1867,"2.6806","1.736","0.2617","0.1073","0.0014","7071.9","668","59.6","18.2","0.2","76","4","0","0","0","0","8","3","1","0","2.178","0.3063","0.0693","0.0115","0.0053","2434.6","157.6","28.9","4.3","2","1.8666","0.2628","0.067","0.0156","0.0047","4979.4","159.3","39.5","9.8","2.5","1.7817","1.4408","0.8604","0.3511","0.1442","0.0812","0.0486","0.0259","0.0205","0.0138","0.0189","6459.9","832.8","325.4","108.1","38.9","20.6","11.4","6.8","5.2","3.2","5.6","7817.9","0","0","0","0","0","108","73","25","9","0","110","60","14","5"
46046,MD13-URA FC-Vipers SC-Home-League-Loss,Hudu Mulikyi - URA-CB,all, game, 46046.802503472,46046.919280093,"6551",7.7444,455.149,46,929.1181,2,0,0,372.1567,30.0482,70.9302,3.6696,18.6897,0,7.726,5.918,"3.2454","3.1318","0.9121","0.355","0.1001","8677.4","1132.3","206","60.5","13.3","153","2","0","0","0","0","27","15","3","1","3.1384","0.61","0.1718","0.0819","0.0317","2295.8","267.3","62.4","24.5","8.4","2.8382","0.6564","0.1743","0.034","0.0077","7030.5","302.8","78.5","15.9","3.4","1.78","1.9997","1.7325","0.9409","0.5306","0.268","0.171","0.0975","0.0632","0.0468","0.1142","7688.3","1194.6","627.4","274.4","133.6","63.4","37","22","13.5","10.3","25","10089.5","0","0","0","0","0","202","140","44","17","0","181","108","55","27"
46042,URA FC VS AMIGOSI UNITED WIN,Norman Namanya - URA-AM,all, training, 46042.389678241,46042.537511574,"9498",8.4461,873.222,68,1030.0718,8,0,0,452.1493,28.1762,53.3548,3.2431,14.978,0,7.5778,5.8934,"3.2967","2.865","1.4112","0.8066","0.0666","11274","1041.1","311.9","136.6","9.1","184","8","0","0","0","0","32","17","15","4","3.1962","0.7192","0.2323","0.0734","0.0634","3457","308","77.9","22.2","17.5","3.2115","0.6901","0.1924","0.0539","0.0137","8464.5","310.6","82.4","24.8","7.8","1.9496","1.7451","1.5425","1.1247","0.8645","0.5478","0.273","0.1377","0.0788","0.0582","0.1242","10352.3","1066.8","578.6","312.6","197.7","112.8","57.5","30.6","18.3","14.2","31.3","12772.8","0","0","0","0","0","189","133","51","41","0","177","113","37","54"
46043,MD13-URA FC DAY5 TRAINING NAKIVUBO ,Norman Namanya - URA-AM,all, training, 46043.667880787,46043.795222222,"9061",8.0645,547.076,41,988.9148,22,0,0,465.6166,29.4082,53.4012,3.5817,14.1808,0,6.7245,6.12,"4.1371","2.4608","0.9195","0.4261","0.121","9811.1","897","206.3","71.7","16.1","205","23","0","0","0","0","22","8","7","4","3.105","0.7675","0.2649","0.088","0.0376","3817.1","378.7","103.6","30.5","11.8","2.8504","0.6458","0.2119","0.0748","0.0187","6128.7","369.9","108.6","41.9","11.4","2.7734","1.7615","1.2575","0.8365","0.5216","0.3107","0.2078","0.1309","0.1056","0.0467","0.1122","8847.8","1095.7","467.7","243","133.9","73.1","45.4","29.1","24.5","11.3","30.7","11002.3","0","0","0","0","0","155","169","87","44","0","177","164","69","44"
46045,MD13-URA FC DAY6 TRAINING NAKIVUBO ,Norman Namanya - URA-AM,all, training, 46045.770173611,46045.844636574,"5652",4.5651,167.68,14,538.9456,6,0,0,276.4739,23.1682,48.4622,3.3427,15.0027,0,6.4089,6.1293,"2.5079","1.593","0.2966","0.1677","0","5726","613.6","65.3","28.6","0","101","6","0","0","0","0","9","2","1","2","1.8752","0.3562","0.1367","0.0382","0.017","2357.1","202.1","58.6","14.7","5.6","1.7142","0.2871","0.0995","0.0298","0.0113","3507.4","201.9","60.5","18.8","6.8","1.6408","1.3051","0.8112","0.294","0.2096","0.1367","0.0694","0.0257","0.0213","0.0135","0.0379","5120.6","771.5","315.6","92.3","54.2","31.1","18.4","7.7","6.5","3.6","12","6433.6","0","0","0","0","0","123","89","34","25","0","99","90","32","21"
46046,MD13-URA FC-Vipers SC-Home-League-Loss,Norman Namanya - URA-AM,all, game, 46046.802298611,46046.920034722,"6552",11.7838,1108.624,101,1448.9837,11,0,0,523.8685,29.1602,107.9105,5.6761,27.9069,0,7.7186,6.1253,"3.8056","4.4675","2.4021","1.02","0.0886","7903.4","1544.1","538.1","174.7","12.1","270","12","0","0","0","0","47","33","14","7","4.4428","1.0025","0.32","0.1151","0.08","2608.1","388.9","108.1","36.4","21.4","4.4343","1.023","0.2727","0.073","0.0206","6442.4","411.8","109.8","34.3","11.2","1.9734","2.3457","2.4218","2.1408","1.2934","0.669","0.3449","0.1902","0.1315","0.0797","0.1936","6656.4","1432.2","846.5","582.1","297.5","143.6","76.6","43.2","30.7","17.8","45.8","10172.4","0","0","0","0","0","248","181","87","41","0","232","157","73","65"
46041,MD13-URA FC DAY3 TRAINING GAYAZA,Justine Opiro - URA-LB,all, training, 46041.393172454,46041.488559028,"6681",6.8603,260.182,26,812.2682,0,0,0,376.183,26.7362,61.6101,3.9275,18.839,0,5.0623,5.6356,"3.0699","2.6011","0.9291","0.2362","0.024","7042.5","945.2","210.3","40.1","3.3","165","0","0","0","0","0","12","6","5","3","2.8382","0.5821","0.1599","0.036","0.0126","2443.9","284.1","63.2","12.7","4.3","2.5593","0.4792","0.1403","0.0443","0.0084","5065.9","261.5","75.7","25.4","4.7","1.9426","1.6061","1.3986","0.9524","0.4503","0.2139","0.1051","0.0598","0.0426","0.0364","0.0525","6269","956","509.9","265.5","112.8","51.8","25.4","15.5","11.4","9.6","14.5","8241.4","0","0","0","0","0","151","101","60","21","0","165","107","32","20"
46042,URA FC VS AMIGOSI UNITED WIN,Justine Opiro - URA-LB,all, training, 46042.389181713,46042.536603009,"9509",8.5288,671.201,58,1009.2168,4,0,0,470.2384,29.9442,53.815,3.1574,16.1009,0,6.3659,5.0465,"3.8042","2.9612","1.0922","0.5766","0.0946","11290.9","1093.4","240.5","99.9","12.5","314","4","0","0","0","0","27","19","11","1","3.4327","0.6486","0.1999","0.0648","0.0323","2897.4","291.3","70.5","21.3","9.5","3.3151","0.6057","0.1775","0.045","0.0072","9045.9","292.6","81.2","23.3","4.2","2.0747","2.3947","1.5128","0.9114","0.7605","0.3484","0.1817","0.1198","0.0684","0.0466","0.1098","10139.5","1420.1","553.5","256.1","172.3","77.8","40","27","15.6","10.6","24.7","12737.2","0","0","0","0","0","209","114","58","19","0","172","110","47","31"
