Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46046,MD13-Vipers SC-URA FC-Away-League-Win,Milton Karisa-Vipers-RW,2nd.half, game, 46046.875577639,46046.913088079,"1138",1.6307,223.699,15,205.0266,2,0,0,79.5246,30.0642,85.9775,7.178,32.5514,0,6.4845,5.1314,"0.7101","0.4669","0.23","0.1572","0.0665","882","170.4","50.9","26.2","8.7","65","2","0","0","0","0","6","5","4","0","0.5894","0.1212","0.0621","0.0325","0.0089","475.2","45","17.2","8","2.1","0.5909","0.1647","0.0465","0.0113","0.0032","513.9","55.8","14.9","4.7","1.4","0.3578","0.4481","0.2272","0.1602","0.1144","0.1008","0.0553","0.0476","0.0318","0.0255","0.062","647.3","273.6","82.2","44.2","27.1","20.5","10.7","8.9","6.5","5.4","11.8","1138.1","0","0","0","0","0","38","17","12","6","0","25","10","21","6"
46046,MD13-Vipers SC-URA FC-Away-League-Win,Hilary Panuel Mukundane-Vipers-CB,2nd.half, game, 46046.875577639,46046.913088079,"3241",4.7645,330.546,26,573.2256,12,0,0,244.6364,30.2162,88.2047,7.0479,35.921,0,8.7816,5.5149,"2.3069","1.5054","0.6217","0.232","0.0986","2517.4","531.4","140.2","39.1","12.9","398","12","0","0","0","0","11","10","3","2","1.8967","0.3838","0.1113","0.0438","0.0356","1381.5","163.1","37.8","12.6","9.5","1.7787","0.3604","0.1223","0.0252","0.0068","1403.3","169.1","49.2","10.8","4.1","1.0255","1.4717","0.8021","0.6187","0.341","0.1678","0.0978","0.0676","0.0438","0.037","0.0913","1666.2","919","285.8","175.7","84.1","38.9","20.5","14.3","9.5","7.9","19.1","3240.9","0","0","0","0","0","98","71","33","14","0","100","67","22","24"
46046,MD13 - NEC FC - KITARA FC - HOME - LEAGUE- DRAW,Ibrahim Musa-NEC FC-CB,2nd.half, game, 46046.709688808,46046.741021562,"2699",3.4013,93.037,13,404.3266,3,0,0,171.3902,27.2802,75.6127,5.9519,31.8581,0,5.1408,6.1556,"1.7917","1.2433","0.2733","0.0703","0.0227","2169.9","460","62","12","3.1","94","3","0","0","0","0","10","3","0","0","1.3683","0.2695","0.0884","0.0375","0.01","1148.4","134.1","32.7","12.4","3.1","1.2827","0.2502","0.0713","0.0147","0.0087","1186.8","143.3","33.8","7.5","4.9","0.8051","1.2142","0.6922","0.3228","0.1482","0.076","0.0523","0.0239","0.0155","0.0108","0.0402","1505.1","749.9","258.4","97.7","40","19.3","13","6.3","4.5","2.6","10.2","2707.2","0","0","0","0","0","100","63","21","13","0","98","50","29","13"
46043,MD13-MAROONS FC-KCCA FC-HOME-LEAGUE-DRAW,KITAGENDA-MAROONSFC-DF,2nd.half, game, 46043.712532014,46043.743081817,"2640",0.0955,0,0,9.0973,0,0,0,38.295,5.008,2.1711,0.1373,0.0076,0,0,0,"0.0955","0","0","0","0","2639.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0495","0.0021","0","0","0","1024.9","3.6","0","0","0","0.043","0.0009","0","0","0","1607.8","3.2","0.1","0","0","0.0905","0.005","0","0","0","0","0","0","0","0","0","2635.9","3.7","0","0","0","0","0","0","0","0","0","2639.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
46043,MD13-MAROONS FC-KCCA FC-HOME-LEAGUE-DRAW,Apollo Kagogwe-Maroons-DF,2nd.half, game, 46043.712532014,46043.743081817,"2640",0.0057,0,0,0.5466,0,0,0,1.6199,2.32,0.1301,0.0083,0,0,0,0,"0.0057","0","0","0","0","2639.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0032","0","0","0","0","40.8","0","0","0","0","0.0025","0","0","0","0","2598.7","0.1","0","0","0","0.0057","0","0","0","0","0","0","0","0","0","0","2639.6","0","0","0","0","0","0","0","0","0","0","2639.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
46043,MD13-MAROONS FC-KCCA FC-HOME-LEAGUE-DRAW,Hassan Matovu-Maroons-GK,2nd.half, game, 46043.712532014,46043.743081817,"2639",1.9389,8.01,2,216.7216,1,0,0,92.5898,21.0402,44.083,3.2718,8.8805,0,6.7704,6.3038,"1.5064","0.3473","0.0772","0.008","0","2493.8","126.5","17.8","1.4","0","22","1","0","0","0","0","2","0","0","0","0.8982","0.1053","0.0307","0.0159","0.0033","1268.7","61.9","13.2","5.8","1.2","0.7632","0.0778","0.0274","0.0106","0.0065","1195.8","66.4","17.5","5.3","3.7","1.1788","0.3766","0.1854","0.1087","0.0384","0.0176","0.0051","0.0049","0.004","0.0038","0.0156","2263.4","243.5","71.2","32.9","11.8","5.7","1.6","1.8","1.4","1","5.2","2639.6","0","0","0","0","0","35","21","8","9","0","39","12","19","4"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Birungi Alvin Twiine - LUGZI - FWD,2nd.half, game, 46046.710484317,46046.74439647,"2912",3.246,183.721,17,387.8081,1,0,0,167.3307,29.8082,66.8812,5.274,25.4198,0,5.6283,4.9186,"1.6103","1.0652","0.3867","0.1586","0.0251","2419.9","394.1","85.4","27.3","3.3","75","1","0","0","0","0","6","7","2","2","1.3354","0.2553","0.084","0.0254","0.0142","1144.7","125","32.6","8.1","4.1","1.186","0.2553","0.0687","0.0171","0.0048","1430.5","138","35.6","8.9","2.5","0.8932","0.9159","0.5579","0.355","0.2236","0.1182","0.0707","0.0372","0.0166","0.016","0.0418","1933.5","560.6","210.2","102.7","53.5","26.8","16.2","8.9","4.1","4.3","9.2","2930.1","0","0","0","0","0","114","62","24","13","0","93","63","20","15"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Abdul Kalanzi - LUGAZI - MD,2nd.half, game, 46046.710484317,46046.74439647,"2912",1.3853,86.293,11,168.7501,3,0,0,61.9042,24.5762,28.5433,2.295,11.6924,0,6.9334,5.2578,"0.5771","0.4821","0.2398","0.0842","0.0021","2695.1","166.9","53.6","14.2","0.3","25","3","0","0","0","0","7","4","0","0","0.5637","0.1074","0.0395","0.0118","0.0053","373.5","40.9","13.4","3.7","1.8","0.5036","0.107","0.0318","0.0136","0.0016","2432.6","44.2","12.9","6.1","1","0.2589","0.3749","0.2597","0.2076","0.122","0.0639","0.0352","0.0192","0.0158","0.0094","0.0187","2483.2","232.4","90.4","56.6","28.7","14.6","8","4.8","3.7","2.6","5.1","2930","0","0","0","0","0","23","15","17","4","0","34","12","8","8"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Ayiko Richard - LUGAZI - DF,2nd.half, game, 46046.710484317,46046.74439647,"2912",4.5661,143.498,23,546.4624,1,0,0,189.1959,25.6322,94.0825,7.4317,40.5174,0,5.6411,5.3645,"2.1224","1.6356","0.6647","0.1406","0.0029","2189.6","565","150.3","24.8","0.4","56","1","0","0","0","0","14","7","2","0","1.9474","0.3827","0.1026","0.0312","0.0106","1303.4","164.7","37.6","11.9","3.7","1.6068","0.3449","0.1069","0.0247","0.0083","1173.4","165.7","51.4","13.2","5.1","0.8693","1.441","0.9081","0.6541","0.3438","0.1307","0.0825","0.0395","0.0298","0.0267","0.0405","1353.1","900.1","316","182","84.5","35.3","21.8","10.6","8.2","6.5","12","0","0","0","0","0","0","90","83","29","19","0","102","64","27","15"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Freedom Mungudit - LUGAZI - LW,2nd.half, game, 46046.710484317,46046.74439647,"2912",2.4464,131.625,11,282.015,4,0,0,121.1342,32.0643,50.4073,3.8353,14.3749,0,8.8809,5.6684,"1.3798","0.6959","0.2391","0.1106","0.021","2602.7","251.4","54.7","18.7","2.6","32","4","0","0","0","0","4","7","0","0","1.0025","0.1429","0.0495","0.0232","0.013","1327.2","61.2","16","7","2.8","1.004","0.1581","0.037","0.0128","0.0034","1427.2","67.2","15","4.9","1.6","0.9799","0.5293","0.3741","0.2493","0.1126","0.0728","0.0268","0.0251","0.0161","0.0137","0.0468","2323.2","329.5","136.8","68.7","28.1","16","6.4","5.1","3.2","3","10.1","2930","0","0","0","0","0","45","24","12","5","0","41","19","14","9"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Ambrose Awio- LUGAZI -RW,2nd.half, game, 46046.710484317,46046.74439647,"2912",3.955,237.361,25,482.6933,4,0,0,191.2379,28.8802,81.4897,6.5647,34.4915,0,5.9371,5.1067,"1.6656","1.4986","0.5535","0.2","0.0373","2230.5","536.3","124","34.3","4.9","94","4","0","0","0","0","17","4","3","1","1.5064","0.3687","0.1068","0.0387","0.0226","1147.6","174.5","41.1","12.9","6.8","1.4234","0.368","0.0921","0.0241","0.0041","1291.3","194.1","47.5","12","2.2","0.7846","1.1067","0.7933","0.5498","0.3093","0.1723","0.085","0.0527","0.0313","0.0184","0.0516","1639.4","672.3","287.5","157.3","77.3","40.7","20.3","11.5","7.5","4.3","11.9","2930","0","0","0","0","0","126","74","37","6","0","102","71","27","21"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Paul Wasswa -LUGAZI -RB,2nd.half, game, 46046.710484317,46046.74439647,"2912",4.121,218.26,21,480.1411,2,0,0,184.2206,25.5842,84.9108,6.5298,33.6746,0,4.863,5.9245,"2.0037","1.4906","0.4084","0.2017","0.0165","2272","528.8","93","34","2.3","115","2","0","0","0","0","10","8","3","0","1.8154","0.2909","0.082","0.017","0.0071","1312.5","132.7","30.3","6.1","2","1.546","0.2614","0.077","0.02","0.0042","1266.6","130.9","35","11.3","2.7","0.9806","1.2577","0.8485","0.4669","0.238","0.1325","0.057","0.0478","0.0275","0.0184","0.0461","1580.7","780.7","300.2","132.9","59.5","28.9","13.4","11.6","6.4","4","11.8","2930","0","0","0","0","0","86","47","27","13","0","91","56","17","8"
46046,MD13-LUGAZI FC-MBARARA FC FC-AWAY-LEAGUE-DRAW,Rogers Atube - LUGAZI -CB,2nd.half, game, 46046.710484317,46046.74439647,"2912",2.5203,118.241,12,296.6825,2,0,0,120.4624,25.6402,51.9291,4.0349,22.3584,0,5.9889,5.4445,"0.2795","1.4764","0.6462","0.1133","0.005","1829.9","908.8","170.4","20.2","0.7","146","2","0","0","0","0","6","6","0","0","1.0668","0.1617","0.0618","0.0198","0.0114","761.7","69.2","24.2","7.1","3.5","0.9549","0.1801","0.0468","0.0137","0.0035","1945.6","87.9","21.1","7.5","2.2","0.5441","0.8917","0.4087","0.327","0.1527","0.08","0.0426","0.0221","0.0155","0.0108","0.025","2052.9","551.3","146.1","91.4","38.9","19.3","10.9","5.8","4","3","6.4","2929.9","0","0","0","0","0","55","36","19","7","0","39","37","14","12"
46043,MD13-MAROONS FC-KCCA FC-HOME-LEAGUE-DRAW,Fredrick Nickolas Kigozi-Maroons-LB,2nd.half, game, 46043.712532014,46043.743081817,"2639",0.0013,0,0,0.1156,0,0,0,0.5221,0.72,0.0284,0.0017,0,0,0,0,"0.0013","0","0","0","0","2639.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0007","0","0","0","0","15","0","0","0","0","0.0006","0","0","0","0","2624.5","0","0","0","0","0.0013","0","0","0","0","0","0","0","0","0","0","2639.5","0","0","0","0","0","0","0","0","0","0","2639.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
