Date,Player Name,Team,Position,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
2/13/2025,Asaph Ssegujja,UPDF,AM,2:42:07 PM,5:51:53 PM,11386,2.2863,4.136,1,252.9268,0,0,0,159.4835,18.3921,12.0479,0.8852,2.5972,0,6.2263,4.8,0.9572,1.2568,0.0681,0.0041,0,10508.5,856.5,19.7,0.8,0,49,0,0,0,0,0,1,0,0,0,1.0257,0.1517,0.0489,0.0128,0.0026,1516.9,126.8,26.7,4.9,1,0.8698,0.1319,0.0346,0.0076,0.0007,9528.5,145.4,28.8,5.8,0.7,1.3514,0.6416,0.1841,0.0609,0.0228,0.0076,0.0072,0.0041,0.0026,0.0006,0.0034,10839,421.7,81.2,24.9,9.3,2.8,2.8,1.6,0.8,0.2,1.2,11385.6,0,0,0,0,0,80,49,15,1,0,47,44,18,5
2/13/2025,Ronald Kayondo,UPDF,DM,2:37:09 PM,6:00:50 PM,12221,14.285,1169.942,91,1687.4897,6,0,0,644.0877,30.4642,70.1332,5.5026,27.3131,0,8.1734,6.0534,2.1198,6.61,4.3852,1.0237,0.1463,6835,4037.8,1149.1,179.3,19.3,240,6,0,0,0,0,47,23,15,6,5.77,0.9949,0.3276,0.1259,0.0564,4878.5,436.5,117.4,41.9,16,5.6149,1.0693,0.2464,0.0633,0.0163,6107.3,482.5,104.8,27.6,8,3.2755,3.8013,2.4218,2.1326,1.1647,0.6252,0.3075,0.177,0.1141,0.0795,0.1857,7805.5,2378,854.7,576.9,279.9,137.5,66.9,37.6,25,17.2,41.3,12220.6,0,0,0,0,0,292,184,72,27,0,244,173,89,55
2/13/2025,OCKEN EMMANUEL,UPDF FC,RW,2:42:03 PM,5:23:55 PM,9712,11.3538,1195.408,83,1338.477,2,0,0,537.838,31.0402,70.1429,5.5715,28.7285,0,7.0852,5.3778,1.3761,5.3481,3.4343,1.0824,0.113,5307.5,3307.3,891.8,190.9,14.8,458,2,0,0,0,0,45,25,4,9,4.4712,0.8532,0.255,0.1092,0.0586,3619.4,351.6,84.2,32.7,16.6,4.3746,0.9257,0.2351,0.0585,0.0127,5098.2,384.5,93.3,25.4,6.4,2.2847,3.3102,1.6709,1.642,1.0243,0.557,0.2943,0.1878,0.1184,0.0762,0.1881,6073.2,2068.7,582,440.5,236.4,121.6,65,41,26.5,16.2,41.2,9712.3,0,0,0,0,0,198,156,61,30,0,199,121,57,56
2/13/2025,Joseph Janjali,UPDF,LW,2:35:23 PM,5:52:29 PM,11825,2.4614,0,0,263.0186,0,0,0,247.2275,16.9921,12.4891,0.8863,1.4985,0,4.9112,6.2445,1.3938,0.989,0.0786,0,0,11076.4,726.3,22.5,0,0,107,0,0,0,0,0,0,0,0,0,1.1456,0.1344,0.0352,0.0105,0.0041,4387.7,123.4,18.7,4.1,1.6,1.0015,0.0912,0.0281,0.0088,0.0019,7141.4,117.9,23,6.3,1.1,1.831,0.4223,0.1183,0.0444,0.0153,0.0112,0.0064,0.0042,0.0018,0.0015,0.005,11451.8,289.6,49.2,17.3,6,4.2,2.3,1.7,0.7,0.6,1.8,11825.3,0,0,0,0,0,43,23,12,5,0,42,27,9,8
2/13/2025,FRANK GLADISON MUGISA,UPDF,AM,2:33:41 PM,6:00:15 PM,12394,14.1147,907.856,75,1650.8676,20,0,0,691.0043,26.0882,68.3301,5.3078,29.4436,0,6.4408,5.9467,1.3429,6.7847,5.0793,0.897,0.0108,6868.3,4021.8,1341.1,161.5,1.5,579,21,0,0,0,0,37,20,11,7,5.5596,1.0515,0.3041,0.1082,0.0402,3830.6,460.4,119.2,38.4,11.9,5.7584,1.0252,0.2209,0.0377,0.0089,7315.6,478.8,111.8,22.6,4.9,2.3955,3.82,2.8549,2.6001,1.294,0.5887,0.2537,0.1419,0.0653,0.036,0.0644,7746.3,2352.8,1000.9,708.2,313,136.6,60.6,33.2,16.4,8.9,17.3,12394.2,0,0,0,0,0,322,222,66,23,0,273,200,97,44
2/13/2025,DENIS SEKITOLEKO,UPDF FC,CB,2:39:48 PM,6:06:17 PM,12389,11.0581,660.046,45,1415.6537,11,0,0,569.3788,28.6082,53.5545,4.0866,19.7301,0,7.7601,5.4445,2.0183,6.0942,2.2855,0.5779,0.0821,7831.7,3830,615.1,100.8,11.1,513,12,0,0,0,0,21,20,4,0,4.7313,0.74,0.1984,0.0774,0.0235,4338.9,352.3,73,24.8,6.1,4.2982,0.7863,0.1645,0.0334,0.0051,7096.3,397.3,77.2,19.7,3.1,3.3748,3.4112,1.7413,1.061,0.5692,0.3448,0.207,0.1214,0.0825,0.065,0.0799,8983.8,2121.5,632.3,305.3,145.2,78.2,45.1,27.5,17.9,13.7,18.2,12388.7,0,0,0,0,0,241,147,51,14,0,225,121,66,24
2/13/2025,Hussein Hassan Zzinda,UPDF,AM,2:33:10 PM,5:51:04 PM,11874,5.9128,474.649,34,673.4085,0,0,0,361.1836,29.2162,29.8776,2.2599,9.1561,0,5.0778,5.8178,1.5063,2.5364,1.3955,0.3531,0.1216,9793.9,1637.4,364.1,62.3,16.3,124,0,0,0,0,0,17,10,5,2,2.5342,0.3867,0.106,0.0412,0.0131,4106.1,200.6,39.7,13.3,4.5,2.367,0.3541,0.0883,0.0195,0.0026,7249.6,202.4,44.9,11.1,1.8,2.1985,1.2991,0.7759,0.6779,0.3983,0.2276,0.1495,0.0741,0.0392,0.0212,0.0513,10383.2,818.5,275.5,182.9,95.2,50.9,28.9,14.6,8.3,4.7,11.3,11874.1,0,0,0,0,0,88,84,26,7,0,97,56,29,18
2/13/2025,KALUMBA BRIAN,UPDF FC,FW,2:40:51 PM,6:00:07 PM,11955,5.9314,410.41,24,680.7469,7,0,0,425.0958,32.7283,29.7685,2.269,7.9429,0,7.4489,5.6178,1.9123,2.4668,1.1419,0.2699,0.1405,10003.5,1585.9,300.7,47.8,17.4,274,7,0,0,0,0,10,12,1,1,2.6346,0.3812,0.1108,0.0392,0.0158,4927.8,204.9,43,12.9,4.4,2.248,0.3684,0.0994,0.0269,0.007,6468.1,223.7,50.9,15.1,4.5,2.6081,1.1434,0.7944,0.5761,0.2976,0.1517,0.1012,0.0899,0.0492,0.0365,0.0835,10597.5,724.4,290.6,161,73.8,36.6,22.4,15.9,9.2,7.4,16.5,11955.3,0,0,0,0,0,89,79,30,16,0,99,59,35,15
2/13/2025,KAWOOYA EDWARD,UPDF FC,AM,2:34:06 PM,6:05:24 PM,12678,10.7191,736.932,49,1192.181,3,0,0,509.0324,28.3362,50.7292,3.9151,16.9111,0,7.8075,6.6627,2.2169,5.5542,2.211,0.6307,0.1062,8489.1,3462.7,601.3,110.1,14.3,272,3,0,0,0,0,27,16,6,0,4.4541,0.7199,0.2095,0.0923,0.0468,4343.4,351.7,82.7,30.4,12.7,4.2389,0.7142,0.1825,0.0478,0.0132,7365.8,374.2,87.4,22.2,7,3.6455,2.5993,1.9722,1.0345,0.5588,0.3244,0.226,0.1103,0.0673,0.0531,0.1277,9709.9,1611.5,714.4,303.6,138.8,71.1,47.7,23.1,16,12.3,29.1,12677.5,0,0,0,0,0,231,138,50,27,0,193,115,62,38
2/13/2025,Samson Andrew Kigozi,UPDF,LW,2:32:12 PM,5:23:10 PM,10258,8.6192,444.978,35,976.2374,4,0,0,411.4001,27.1922,50.4144,3.7923,16.8922,0,5.5778,5.798,1.4492,5.1033,1.6217,0.3925,0.0525,6428.4,3319.3,435,68.1,7.2,234,4,0,0,0,0,24,7,4,0,3.6687,0.5714,0.1394,0.0517,0.0093,3320.8,265.5,48.1,16.2,2.5,3.497,0.5229,0.1312,0.022,0.0057,6278.4,259.2,52.7,11.4,3.2,2.8453,2.7071,1.2779,0.7776,0.4109,0.2402,0.1299,0.0718,0.0433,0.0362,0.0791,7615.9,1717.1,465.1,223.3,101.6,53.9,28.8,17.3,9.8,7.8,17.4,10258,0,0,0,0,0,180,104,28,13,0,200,87,38,8
