Player Name               ,Team   ,Position ,Duration ,Distance (km) ,Sprint Distance (m) ,Power Plays ,Energy (kcal) ,Impacts ,Player Load ,Top Speed (km/h) ,Distance Per Min (m/min) ,Power Score (w/kg) ,Work Ratio ,Max Deceleration (m/s/s) ,Max Acceleration (m/s/s)
Marvin Nyanzi             ,Kitara ,         ,   11023 ,       5.5613 ,            644.588 ,         35 ,     649.0814 ,     10 ,   308.9592 ,         29.9522 ,                 30.271  ,            2.3465 ,   10.9583 ,                  7.4356 ,                  5.2267
Frank Tumwesigye          ,Kitara ,         ,   10582 ,       8.87   ,            584.574 ,         42 ,    1040.9575 ,     11 ,   447.7    ,         29.5442 ,                 50.2932 ,            3.92   ,   21.2886 ,                  7.6756 ,                  4.5815
Living Kabon              ,Kitara ,         ,   11095 ,       6.9506 ,            855.388 ,         43 ,     814.981  ,      7 ,   371.0303 ,         33.2483 ,                 37.5875 ,            2.9272 ,   10.7819 ,                  6.8489 ,                  5.7645
Arthur Kiggundu           ,Kitara ,         ,   11435 ,      10.6545 ,            939.277 ,         64 ,    1258.6452 ,      7 ,   485.5585 ,         29.4722 ,                 55.9046 ,            4.386  ,   23.9978 ,                  6.3075 ,                  5.3815
Jude Semugabi             ,Kitara ,         ,   11001 ,      10.6226 ,           1772.348 ,         74 ,    1280.8944 ,      4 ,   459.0481 ,         32.5683 ,                 57.9363 ,            4.6399 ,   24.2741 ,                  8.4001 ,                  5.6371
Solomon Ali Okwalinga     ,Kitara ,         ,   11435 ,      10.2314 ,            447.619 ,         49 ,    1177.8404 ,      2 ,   459.4058 ,         27.1042 ,                 53.6847 ,            4.1046 ,   21.3627 ,                  5.4384 ,                  5.2202
Ronald Otti               ,Kitara ,         ,   10605 ,      10.6849 ,            633.769 ,         57 ,    1253.5291 ,      9 ,   499.8414 ,         28.7922 ,                 60.4522 ,            4.7103 ,   23.4406 ,                  6.2941 ,                  5.5149
Maxwell Owachgiu          ,Kitara ,         ,    1799 ,       0.0054 ,              0.0   ,          0 ,       0.5293 ,      0 ,    24.193  ,          2.96   ,                  0.1806 ,            0.0117 ,    0.0    ,                  0.0    ,                  0.0
Baguma Jasper Aheebwa     ,Kitara ,         ,    1727 ,       0.0054 ,              0.0   ,          0 ,       0.5191 ,      0 ,    22.7724 ,          2.448  ,                  0.1874 ,            0.012  ,    0.0    ,                  0.0    ,                  0.0
George Senkaaba           ,Kitara ,         ,   11092 ,       8.173  ,           1068.053 ,         68 ,     990.0574 ,      6 ,   397.3357 ,         31.1042 ,                 44.2104 ,            3.5569 ,   15.1815 ,                  6.8489 ,                  5.6889
Lazaro Bwambale           ,Kitara ,         ,   11464 ,      11.6611 ,           1079.126 ,         76 ,    1391.2868 ,     12 ,   563.4728 ,         30.0162 ,                 61.0318 ,            4.836  ,   24.4625 ,                  7.495  ,                  6.4623
Fred Amaku                ,Kitara ,         ,   11401 ,       3.4077 ,            195.173 ,         13 ,     391.4629 ,      4 ,   191.7189 ,         24.1682 ,                 17.9337 ,            1.3682 ,    5.6889 ,                  5.5314 ,                  5.9149
Jamil Kiyimba             ,Kitara ,         ,    1049 ,       0.0722 ,             22.322 ,          0 ,       8.5343 ,      0 ,    17.0889 ,         23.9682 ,                  4.1306 ,            0.3243 ,    1.1252 ,                  0.0    ,                  0.0
