team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Lugazi FC       , MD2          , Ambrose Awio                  , Wide Midfielders     ,      8.6329,          1117.931, 104.05      ,                      1.0292,                      4.0871,                      2.3986,                      0.8481, 0.2698                     ,   30.7522,      82.96876502, Wide Midfielders
Lugazi FC       , MD2          , Derrick Mwanje                , Attacking Midfielders,     10.7927,           809.018, 104.05      ,                      0.8741,                      5.5398,                      3.5698,                      0.7136, 0.0955                     ,   28.2482,     103.7260932 , Attacking Midfielders
Lugazi FC       , MD2          , Ian Amanya                    , Attacking Midfielders,     12.7647,          1456.901, 104.05      ,                      0.7273,                      5.734 ,                      4.8464,                      1.3888, 0.0682                     ,   27.3842,     122.6785199 , Attacking Midfielders
Lugazi FC       , MD2          , Nelson Mandela                , Attacking Midfielders,      9.5125,          1645.726, 104.05      ,                      0.4571,                      3.3936,                      4.016 ,                      1.4257, 0.2201                     ,   31.2563,      91.42239308, Attacking Midfielders
Lugazi FC       , MD2          , Paul Wasswa                   , Wide Defenders       ,     10.4841,           873.529, 104.05      ,                      1.0563,                      4.8292,                      3.725 ,                      0.753 , 0.1204                     ,   30.8802,     100.7602114 , Wide Defenders
Lugazi FC       , MD2          , Sam Ssemugugu                 , Forward              ,      7.7783,          1116.849, 102.4833333 ,                      0.6965,                      3.5806,                      2.3842,                      0.9361, 0.1807                     ,   30.8802,      75.89819483, Forward
Lugazi FC       , MD20         , Ali Arshavin Bayo             , Central Midfielders  ,     11.1577,          1140.357,  97.03333333,                      0.7007,                      5.0232,                      4.2934,                      1.0562, 0.0842                     ,   28.8082,     114.9883202 , Central Midfielders
Lugazi FC       , MD20         , Ayiko Richard                 , Defenders            ,      9.2225,           417.158,  97.03333333,                      0.9196,                      5.355 ,                      2.5308,                      0.3704, 0.0468                     ,   28.1762,      95.04465819, Defenders
Lugazi FC       , MD20         , Derrick Mwanje                , Attacking Midfielders,     10.6153,           689.042,  97.03333333,                      0.745 ,                      5.41  ,                      3.7712,                      0.6654, 0.0236                     ,   28.9282,     109.3984885 , Attacking Midfielders
Lugazi FC       , MD20         , Emmanuel Obua                 , Wide Defenders       ,      6.849 ,           821.445,  97.03333333,                      0.5968,                      3.2707,                      2.16  ,                      0.6765, 0.145                      ,   29.9362,      70.58399176, Wide Defenders
Lugazi FC       , MD20         , Ian Amanya                    , Attacking Midfielders,      5.5213,           520.606,  97.03333333,                      0.6555,                      2.6169,                      1.7283,                      0.4663, 0.0543                     ,   27.7442,      56.90106493, Attacking Midfielders
Lugazi FC       , MD20         , LUTAKOME JUMAH JUNIOR         , Forward              ,      4.584 ,           484.139,  97.03333333,                      0.8439,                      2.2262,                      1.0298,                      0.4107, 0.0735                     ,   27.3922,      47.24149777, Forward
