team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Lugazi FC       , MD26         , Birungi Alvin Twiine          , Forward              ,      4.4391,           366.033,  97.21666667,                      0.4331,                      2.3842,                      1.2558,                      0.3262, 0.0398                     ,   30.4802,      45.66192354, Forward
Lugazi FC       , MD26         , Derrick Mwanje                , Attacking Midfielders,     10.2455,           658.362,  97.23333333,                      0.8304,                      5.3992,                      3.3574,                      0.6016, 0.0567                     ,   28.8642,     105.3702434 , Attacking Midfielders
Lugazi FC       , MD26         , Emmanuel Obua                 , Wide Defenders       ,      6.5324,           709.081,  97.21666667,                      0.666 ,                      3.2443,                      1.9131,                      0.6539, 0.0552                     ,   30.1602,      67.19423967, Wide Defenders
Lugazi FC       , MD26         , Freedom Mungudit              , Wide Midfielders     ,      7.9742,           615.134,  97.23333333,                      1.1479,                      4.5567,                      1.6545,                      0.502 , 0.1131                     ,   31.7123,      82.01097017, Wide Midfielders
Lugazi FC       , MD26         , Moses Ojoaza Buga             , Wide Midfielders     ,      3.9813,           386.294,  97.23333333,                      0.616 ,                      1.7537,                      1.2253,                      0.3364, 0.0499                     ,   28.2402,      40.94583476, Wide Midfielders
Lugazi FC       , MD26         , OTHIENO JOSEPH                , Defenders            ,      9.2493,           590.187,  97.23333333,                      1.0679,                      4.9242,                      2.6669,                      0.4692, 0.121                      ,   29.6002,      95.12478574, Defenders
Lugazi FC       , MD26         , Rogers Adriko                 , Attacking Midfielders,      4.8591,           379.831,  97.23333333,                      0.4365,                      2.507 ,                      1.5358,                      0.3436, 0.0363                     ,   29.0722,      49.97360302, Attacking Midfielders
Lugazi FC       , MD26         , Rogers Atube                  , Defenders            ,      9.9743,           967.055,  97.21666667,                      0.9445,                      5.5716,                      2.4912,                      0.8301, 0.137                      ,   31.1282,     102.5986628 , Defenders
Lugazi FC       , MD26         , Sam Ssemugugu                 , Forward              ,      3.093 ,           292.95 ,  97.23333333,                      0.4918,                      1.49  ,                      0.8183,                      0.2451, 0.0478                     ,   30.9282,      31.81007885, Forward
Lugazi FC       , MD26         , SSENOGA HUSSEIN               , Attacking Midfielders,      5.577 ,           344.865,  97.23333333,                      0.5586,                      3.0679,                      1.6057,                      0.3216, 0.0234                     ,   27.2962,      57.3568735 , Attacking Midfielders
