p_name,club_for,club_against,player_club_,match_day,general_position,player_position,result,location,duration,distance_km,sprint_distance_m,power_plays,energy_kcal,impacts,player_load,power_score_wkg,work_ratio,top_speed_kmh,max_acceleration_mss,max_deceleration_mss,distance_per_min_mmin,accelerations_zone_count:_1__2_mss,accelerations_zone_count:_2__3_mss,accelerations_zone_count:_3__4_mss,accelerations_zone_count:_>_4_mss,deceleration_zone_count:_1__2_mss,deceleration_zone_count:_2__3_mss,deceleration_zone_count:_3__4_mss,deceleration_zone_count:_>_4_mss,distance_in_acceleration_zones:_0__1_mss_km,distance_in_acceleration_zones:_1__2_mss_km,distance_in_acceleration_zones:_2__3_mss_km,distance_in_acceleration_zones:_3__4_mss_km,distance_in_acceleration_zones:_>_4_mss_km,distance_in_deceleration_zones:_0__1_mss_km,distance_in_deceleration_zones:_1__2_mss_km,distance_in_deceleration_zones:_2__3_mss_km,distance_in_deceleration_zones:_3__4_mss_km,distance_in_deceleration_zones:_>_4_mss_km,distance_in_power_zone:_0__5_wkg_km,distance_in_power_zone:_10__15_wkg_km,distance_in_power_zone:_15__20_wkg_km,distance_in_power_zone:_20__25_wkg_km,distance_in_power_zone:_25__30_wkg_km,distance_in_power_zone:_30__35_wkg_km,distance_in_power_zone:_35__40_wkg_km,distance_in_power_zone:_40__45_wkg_km,distance_in_power_zone:_45__50_wkg_km,distance_in_power_zone:_5__10_wkg_km,distance_in_power_zone:_>_50_wkg_km,distance_in_speed_zone_1_km,distance_in_speed_zone_2_km,distance_in_speed_zone_3_km,distance_in_speed_zone_4_km,distance_in_speed_zone_5_km,impact_zones:_3__5_g_impacts,impact_zones:_5__10_g_impacts,power_play_duration_zones:_2.5__5_s_power_plays,power_play_duration_zones:_5__7.5_s_power_plays,power_play_duration_zones:_7.5__10_s_power_plays,power_play_duration_zones:_>_10_s_power_plays,time_in_acceleration_zones:_0__1_mss_secs,time_in_acceleration_zones:_1__2_mss_secs,time_in_acceleration_zones:_2__3_mss_secs,time_in_acceleration_zones:_3__4_mss_secs,time_in_acceleration_zones:_>_4_mss_secs,time_in_deceleration_zones:_0__1_mss_secs,time_in_deceleration_zones:_1__2_mss_secs,time_in_deceleration_zones:_2__3_mss_secs,time_in_deceleration_zones:_3__4_mss_secs,time_in_deceleration_zones:_>_4_mss_secs,time_in_hr_load_zone_0%__60%_max_hrsecs,time_in_power_zone:_0__5_wkg_secs,time_in_power_zone:_10__15_wkg_secs,time_in_power_zone:_15__20_wkg_secs,time_in_power_zone:_20__25_wkg_secs,time_in_power_zone:_25__30_wkg_secs,time_in_power_zone:_30__35_wkg_secs,time_in_power_zone:_35__40_wkg_secs,time_in_power_zone:_40__45_wkg_secs,time_in_power_zone:_45__50_wkg_secs,time_in_power_zone:_5__10_wkg_secs,time_in_power_zone:_>_50_wkg_secs,time_in_speed_zone_1_secs,time_in_speed_zone_2_secs,time_in_speed_zone_3_secs,time_in_speed_zone_4_secs,time_in_speed_zone_5_secs
Immaculate Kizza,She Maroons Fc,Wakiso Hill Wfc,She Maroons Fc,Wmd18,Forwards,Fw,Win,Home,102.51666666666667,5.869300000000001,374.556,35.0,688.4905,4.0,385.1164,9.487,52.2894,24.7442,4.8202,6.9297,57.2521541212811,185.0,81.0,32.0,9.0,139.0,88.0,24.0,23.0,2.3135000000000003,0.44029999999999997,0.10410000000000001,0.0232,0.0027,2.3391,0.462,0.1298,0.0345,0.0201,1.3862999999999999,0.9853,0.5871999999999999,0.3753,0.2083,0.1174,0.0726,0.0428,0.0285,2.0244999999999997,0.041,0.946,3.2695,1.2793,0.3696,0.005,417.0,4.0,20.0,12.0,3.0,0.0,3451.5,215.60000000000002,45.9,13.0,1.8,2172.2,210.7,45.6,11.2,5.6,6172.9,4215.9,366.7,166.5,91.4,46.8,28.6,17.3,10.7,6.8,1211.9,10.5,3845.7000000000003,1922.5,338.4,65.8,0.7
Immaculate Kizza,She Maroons Fc,Wakiso Hill Wfc,She Maroons Fc,Wmd7,Forwards,Fw,Draw,Away,97.58333333333334,5.6675,442.057,42.0,683.2613,2.0,266.5478,9.3647,44.5529,26.5602,6.3289,5.8829,58.078565328778815,125.0,88.0,41.0,18.0,112.0,67.0,42.0,34.0,2.0896,0.45420000000000005,0.1536,0.0311,0.0071,2.2404,0.4203,0.1672,0.0726,0.0314,1.5613,0.8578,0.5024,0.37120000000000003,0.2338,0.1336,0.1054,0.07769999999999999,0.041999999999999996,1.7313,0.0511,0.9901,3.0412999999999997,1.1941,0.4282,0.0139,113.0,2.0,28.0,13.0,1.0,0.0,3227.5,211.2,64.2,16.2,4.1,2080.0,179.6,55.0,21.8,8.4,5868.3,4091.5,315.4,145.60000000000002,90.39999999999999,53.5,32.6,24.0,18.0,10.7,1072.3,14.0,3608.6,1867.4,314.5,75.6,1.9
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Amus College Wfc,Uganda Martyrs Lubaga Wfc,Wmd18,Midfielders,Cm,Loss,Home,98.91666666666666,9.9414,260.912,32.0,865.7637,8.0,549.8136,15.661999999999999,93.8269,23.5522,5.1689,5.5289,100.5027801179444,263.0,169.0,70.0,12.0,268.0,157.0,70.0,29.0,3.9162,0.7297,0.1842,0.035,0.0043,4.0257000000000005,0.7264999999999999,0.2353,0.06369999999999999,0.0208,1.6745999999999999,2.7538,1.4012,0.5535,0.2475,0.1308,0.0892,0.0387,0.022600000000000002,2.9893,0.04,0.9681,5.668699999999999,3.0436,0.2609,0.0,484.0,8.0,25.0,4.0,3.0,0.0,2604.0,336.7,87.8,18.4,2.1,2460.8,307.6,88.0,22.8,6.9,5935.0,2490.8999999999996,984.2,404.4,144.39999999999998,65.9,36.900000000000006,25.3,10.6,6.4,1754.7,11.4,1897.1,3154.2,835.6,48.2,0.0
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Amus College Wfc,Uganda Martyrs Lubaga Wfc,Wmd7,Midfielders,Cm,Draw,Away,107.86666666666667,10.7777,531.508,43.0,924.8695,6.0,584.7520999999999,15.413799999999998,93.9651,22.5442,5.5273,5.0,99.91687268232384,286.0,166.0,47.0,13.0,308.0,135.0,57.0,21.0,4.3885,0.7249,0.1421,0.026799999999999997,0.0036,4.5044,0.7250000000000001,0.1975,0.0537,0.0111,1.6235,3.0085,1.7375,0.8464,0.3286,0.1427,0.0817,0.038,0.021,2.9183,0.0313,0.9976,5.6498,3.5987999999999998,0.5316000000000001,0.0,623.0,6.0,21.0,12.0,5.0,5.0,2956.3,321.5,70.6,15.2,2.2,2730.4,298.7,74.2,18.3,3.5,6490.7,2870.0,1065.1,487.59999999999997,205.39999999999998,80.8,36.0,20.799999999999997,9.5,6.1,1700.5,9.1,2342.7,3072.1,978.3000000000001,97.80000000000001,0.0
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Fc Tooro Queens,Uganda Martyrs Lubaga Wfc,Wmd13,Midfielders,Cm,Win,Away,105.48333333333333,9.8857,557.687,54.0,860.8797,7.0,530.9537,14.519,83.50880000000001,24.4642,4.8768,6.2267,93.71812292621267,281.0,137.0,54.0,12.0,248.0,130.0,53.0,18.0,3.8503999999999996,0.755,0.1625,0.0336,0.0036,4.0918,0.7087000000000001,0.2005,0.059300000000000005,0.0201,1.6965,2.5941,1.4569,0.7356,0.3503,0.1728,0.1013,0.0561,0.0294,2.6355,0.0572,1.0542,5.1415,3.1323,0.5569999999999999,0.0007,518.0,7.0,30.0,20.0,2.0,2.0,2971.5,337.6,71.5,15.6,2.1,2591.3,291.1,69.69999999999999,18.799999999999997,5.2,6374.2,3146.5,923.9,409.4,178.7,82.3,42.5,24.9,13.6,7.9,1530.0,14.7,2603.1000000000004,2826.5,844.2,100.5,0.1
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Fc Tooro Queens,Uganda Martyrs Lubaga Wfc,Wmd3,Midfielders,Cm,Draw,Away,100.36666666666667,10.7566,622.98,46.0,940.5797,11.0,578.7955,16.724,98.107,25.8722,5.5378,6.2829,107.1730322152109,324.0,163.0,53.0,13.0,285.0,162.0,68.0,28.0,4.243,0.845,0.178,0.030100000000000002,0.0034999999999999996,4.2938,0.8274,0.2475,0.0684,0.019799999999999998,1.5929,2.8619,1.7031,0.8549,0.38060000000000005,0.2049,0.1091,0.0516,0.0307,2.9187,0.048100000000000004,0.8993,5.6719,3.5624000000000002,0.6128,0.0102,517.0,11.0,19.0,17.0,6.0,4.0,2623.3999999999996,375.1,82.6,15.9,2.3,2470.6000000000004,341.79999999999995,93.19999999999999,22.9,6.3,6033.9,2416.2,1021.5,478.0,211.1,92.30000000000001,49.400000000000006,27.2,12.6,7.7,1705.3,12.8,1832.8,3126.5,963.2,110.2,1.4000000000000001
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Kampala Queens Fc,Uganda Martyrs Lubaga Wfc,Wmd12,Midfielders,Cm,Loss,Home,106.23333333333333,10.3626,525.671,51.0,902.8879999999999,6.0,583.1374000000001,15.2562,88.5156,25.1682,4.3956,6.3645,97.54565422026985,321.0,166.0,53.0,7.0,307.0,155.0,73.0,20.0,4.0933,0.8137,0.15699999999999997,0.025500000000000002,0.0019,4.1552,0.7929999999999999,0.235,0.07339999999999999,0.0144,1.6328,2.6503,1.8161,0.8973,0.37760000000000005,0.1762,0.0748,0.0381,0.0226,2.6452999999999998,0.0315,1.0112999999999999,5.1874,3.6384000000000003,0.5221,0.0036,518.0,6.0,28.0,12.0,8.0,3.0,2924.2,373.9,77.0,13.899999999999999,1.0,2554.8,335.79999999999995,84.8,24.2,4.6,6394.0,2990.7,948.8,504.6,221.3,92.30000000000001,43.5,19.200000000000003,10.3,6.0,1549.4,8.1,2468.7,2858.3,971.1,95.6,0.5
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Kampala Queens Fc,Uganda Martyrs Lubaga Wfc,Wmd4,Midfielders,Cm,Draw,Away,96.38333333333333,9.422699999999999,570.422,44.0,823.0092,12.0,524.3229,15.2427,88.0429,27.7922,5.2243,6.8741,97.76275289642054,291.0,153.0,50.0,9.0,262.0,141.0,50.0,27.0,3.7218999999999998,0.7525,0.13940000000000002,0.028499999999999998,0.0034000000000000002,3.7702,0.7124999999999999,0.2099,0.0631,0.0211,1.4502,2.4703999999999997,1.4726,0.7688,0.3559,0.1765,0.0989,0.0579,0.0264,2.5075,0.0377,0.8711,4.788399999999999,3.1928,0.5534,0.0171,527.0,12.0,26.0,11.0,5.0,2.0,2670.1,337.1,64.4,13.9,1.9,2308.3999999999996,295.79999999999995,74.3,20.0,6.1,5791.799999999999,2642.2,873.5999999999999,415.3,189.39999999999998,83.6,42.0,23.6,13.5,7.1,1492.1,9.600000000000001,2157.8,2667.5,864.9000000000001,99.5,2.3
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Olila Hs Wfc,Uganda Martyrs Lubaga Wfc,Wmd9,Midfielders,Cm,Loss,Away,95.01666666666667,7.3611,273.435,25.0,622.8091000000001,6.0,397.7504,11.5989,68.7763,24.4322,4.8445,4.7248,77.471671636555,194.0,113.0,28.0,7.0,201.0,93.0,43.0,11.0,3.0568,0.46140000000000003,0.0933,0.0141,0.002,3.0789,0.48,0.1195,0.047299999999999995,0.0077,1.4139,1.7729,0.901,0.44710000000000005,0.2028,0.0927,0.04769999999999999,0.0223,0.013000000000000001,2.4346,0.0132,0.735,4.4955,1.8571,0.2734,0.0,357.0,6.0,14.0,9.0,0.0,2.0,3194.0,225.0,48.1,8.8,1.2000000000000002,2008.2,212.4,46.2,17.1,2.3,5763.1,3218.2,644.7,257.2,111.6,50.7,23.0,12.899999999999999,5.5,3.5,1432.1999999999998,3.8,2646.3,2564.8,502.8,49.4,0.0
Immaculate Nakanjako,Uganda Martyrs Lubaga Wfc,Rines Ss Wfc,Uganda Martyrs Lubaga Wfc,Wmd17,Midfielders,Cm,Draw,Away,99.28333333333333,8.9084,460.648,31.0,774.2951,15.0,525.2701999999999,13.846900000000002,77.8575,25.1042,4.7963,6.0223,89.72704381400034,345.0,146.0,35.0,11.0,338.0,138.0,39.0,23.0,3.4604999999999997,0.7236,0.12990000000000002,0.0237,0.0033,3.5636,0.7719,0.1646,0.052099999999999994,0.0152,1.8132,2.0799000000000003,1.08,0.5502,0.2836,0.13849999999999998,0.0796,0.044899999999999995,0.0284,2.7708000000000004,0.039400000000000004,1.1004,5.1495999999999995,2.1978,0.4563,0.0043,502.0,15.0,14.0,9.0,7.0,1.0,2758.6,351.4,64.0,11.6,1.7,2386.8999999999996,334.5,60.9,17.2,4.5,5991.2,2992.8,769.9,315.0,139.5,67.9,32.2,19.0,10.8,6.800000000000001,1627.1999999999998,10.2,2390.6000000000004,2922.1000000000004,596.6,81.4,0.6
